Token	Sentença
[CLS]	Como enfileirar elementos em uma fila?
Como	Como enfileirar elementos em uma fila?
enf	Como enfileirar elementos em uma fila?
##ile	Como enfileirar elementos em uma fila?
##ira	Como enfileirar elementos em uma fila?
##r	Como enfileirar elementos em uma fila?
elementos	Como enfileirar elementos em uma fila?
em	Como enfileirar elementos em uma fila?
uma	Como enfileirar elementos em uma fila?
fil	Como enfileirar elementos em uma fila?
##a	Como enfileirar elementos em uma fila?
?	Como enfileirar elementos em uma fila?
[SEP]	Como enfileirar elementos em uma fila?
[CLS]	Como desenfileirar elementos em uma fila?
Como	Como desenfileirar elementos em uma fila?
desen	Como desenfileirar elementos em uma fila?
##fil	Como desenfileirar elementos em uma fila?
##eira	Como desenfileirar elementos em uma fila?
##r	Como desenfileirar elementos em uma fila?
elementos	Como desenfileirar elementos em uma fila?
em	Como desenfileirar elementos em uma fila?
uma	Como desenfileirar elementos em uma fila?
fil	Como desenfileirar elementos em uma fila?
##a	Como desenfileirar elementos em uma fila?
?	Como desenfileirar elementos em uma fila?
[SEP]	Como desenfileirar elementos em uma fila?
[CLS]	Como empilhar elementos em uma pilha?
Como	Como empilhar elementos em uma pilha?
emp	Como empilhar elementos em uma pilha?
##ilha	Como empilhar elementos em uma pilha?
##r	Como empilhar elementos em uma pilha?
elementos	Como empilhar elementos em uma pilha?
em	Como empilhar elementos em uma pilha?
uma	Como empilhar elementos em uma pilha?
pilha	Como empilhar elementos em uma pilha?
?	Como empilhar elementos em uma pilha?
[SEP]	Como empilhar elementos em uma pilha?
[CLS]	Como empilhar e desempilhar elementos em uma pilha?
Como	Como empilhar e desempilhar elementos em uma pilha?
emp	Como empilhar e desempilhar elementos em uma pilha?
##ilha	Como empilhar e desempilhar elementos em uma pilha?
##r	Como empilhar e desempilhar elementos em uma pilha?
e	Como empilhar e desempilhar elementos em uma pilha?
desem	Como empilhar e desempilhar elementos em uma pilha?
##pi	Como empilhar e desempilhar elementos em uma pilha?
##l	Como empilhar e desempilhar elementos em uma pilha?
##har	Como empilhar e desempilhar elementos em uma pilha?
elementos	Como empilhar e desempilhar elementos em uma pilha?
em	Como empilhar e desempilhar elementos em uma pilha?
uma	Como empilhar e desempilhar elementos em uma pilha?
pilha	Como empilhar e desempilhar elementos em uma pilha?
?	Como empilhar e desempilhar elementos em uma pilha?
[SEP]	Como empilhar e desempilhar elementos em uma pilha?
[CLS]	Como empilhar elementos em uma estrutura de dados pilha?
Como	Como empilhar elementos em uma estrutura de dados pilha?
emp	Como empilhar elementos em uma estrutura de dados pilha?
##ilha	Como empilhar elementos em uma estrutura de dados pilha?
##r	Como empilhar elementos em uma estrutura de dados pilha?
elementos	Como empilhar elementos em uma estrutura de dados pilha?
em	Como empilhar elementos em uma estrutura de dados pilha?
uma	Como empilhar elementos em uma estrutura de dados pilha?
estrutura	Como empilhar elementos em uma estrutura de dados pilha?
de	Como empilhar elementos em uma estrutura de dados pilha?
dados	Como empilhar elementos em uma estrutura de dados pilha?
pilha	Como empilhar elementos em uma estrutura de dados pilha?
?	Como empilhar elementos em uma estrutura de dados pilha?
[SEP]	Como empilhar elementos em uma estrutura de dados pilha?
[CLS]	Como empilhar e desempilhar elementos em uma estrutura de dados pilha?
Como	Como empilhar e desempilhar elementos em uma estrutura de dados pilha?
emp	Como empilhar e desempilhar elementos em uma estrutura de dados pilha?
##ilha	Como empilhar e desempilhar elementos em uma estrutura de dados pilha?
##r	Como empilhar e desempilhar elementos em uma estrutura de dados pilha?
e	Como empilhar e desempilhar elementos em uma estrutura de dados pilha?
desem	Como empilhar e desempilhar elementos em uma estrutura de dados pilha?
##pi	Como empilhar e desempilhar elementos em uma estrutura de dados pilha?
##l	Como empilhar e desempilhar elementos em uma estrutura de dados pilha?
##har	Como empilhar e desempilhar elementos em uma estrutura de dados pilha?
elementos	Como empilhar e desempilhar elementos em uma estrutura de dados pilha?
em	Como empilhar e desempilhar elementos em uma estrutura de dados pilha?
uma	Como empilhar e desempilhar elementos em uma estrutura de dados pilha?
estrutura	Como empilhar e desempilhar elementos em uma estrutura de dados pilha?
de	Como empilhar e desempilhar elementos em uma estrutura de dados pilha?
dados	Como empilhar e desempilhar elementos em uma estrutura de dados pilha?
