Token	POS-Tag	OOV	Id	Origem	Sentence	Classe
Como	SCONJ	0	1	1	Como enfileirar elementos em uma fila ?	1
enfileirar	VERB	1	1	1	Como enfileirar elementos em uma fila ?	1
elementos	NOUN	0	1	1	Como enfileirar elementos em uma fila ?	1
em	ADP	0	1	1	Como enfileirar elementos em uma fila ?	1
uma	DET	0	1	1	Como enfileirar elementos em uma fila ?	1
fila	NOUN	1	1	1	Como enfileirar elementos em uma fila ?	1
?	PUNCT	0	1	1	Como enfileirar elementos em uma fila ?	1
Como	SCONJ	0	1_pert_0	1	Como colocar elementos em uma fila ?	0
colocar	VERB	0	1_pert_0	1	Como colocar elementos em uma fila ?	0
elementos	NOUN	0	1_pert_0	1	Como colocar elementos em uma fila ?	0
em	ADP	0	1_pert_0	1	Como colocar elementos em uma fila ?	0
uma	DET	0	1_pert_0	1	Como colocar elementos em uma fila ?	0
fila	NOUN	1	1_pert_0	1	Como colocar elementos em uma fila ?	0
?	PUNCT	0	1_pert_0	1	Como colocar elementos em uma fila ?	0
Como	SCONJ	0	2	2	Como desenfileirar elementos em uma fila ?	1
desenfileirar	VERB	1	2	2	Como desenfileirar elementos em uma fila ?	1
elementos	NOUN	0	2	2	Como desenfileirar elementos em uma fila ?	1
em	ADP	0	2	2	Como desenfileirar elementos em uma fila ?	1
uma	DET	0	2	2	Como desenfileirar elementos em uma fila ?	1
fila	NOUN	1	2	2	Como desenfileirar elementos em uma fila ?	1
?	PUNCT	0	2	2	Como desenfileirar elementos em uma fila ?	1
Como	SCONJ	0	2_pert_0	2	Como colocar elementos em uma fila ?	0
colocar	VERB	0	2_pert_0	2	Como colocar elementos em uma fila ?	0
elementos	NOUN	0	2_pert_0	2	Como colocar elementos em uma fila ?	0
em	ADP	0	2_pert_0	2	Como colocar elementos em uma fila ?	0
uma	DET	0	2_pert_0	2	Como colocar elementos em uma fila ?	0
fila	NOUN	1	2_pert_0	2	Como colocar elementos em uma fila ?	0
?	PUNCT	0	2_pert_0	2	Como colocar elementos em uma fila ?	0
Como	SCONJ	0	3	3	Como empilhar elementos em uma pilha ?	1
empilhar	VERB	1	3	3	Como empilhar elementos em uma pilha ?	1
elementos	NOUN	0	3	3	Como empilhar elementos em uma pilha ?	1
em	ADP	0	3	3	Como empilhar elementos em uma pilha ?	1
uma	DET	0	3	3	Como empilhar elementos em uma pilha ?	1
pilha	NOUN	0	3	3	Como empilhar elementos em uma pilha ?	1
?	PUNCT	0	3	3	Como empilhar elementos em uma pilha ?	1
Como	SCONJ	0	3_pert_0	3	Como colocar elementos em uma pilha ?	0
colocar	VERB	0	3_pert_0	3	Como colocar elementos em uma pilha ?	0
elementos	NOUN	0	3_pert_0	3	Como colocar elementos em uma pilha ?	0
em	ADP	0	3_pert_0	3	Como colocar elementos em uma pilha ?	0
uma	DET	0	3_pert_0	3	Como colocar elementos em uma pilha ?	0
pilha	NOUN	0	3_pert_0	3	Como colocar elementos em uma pilha ?	0
?	PUNCT	0	3_pert_0	3	Como colocar elementos em uma pilha ?	0
Como	SCONJ	0	4	4	Como empilhar e desempilhar elementos em uma pilha ?	1
empilhar	VERB	1	4	4	Como empilhar e desempilhar elementos em uma pilha ?	1
e	CCONJ	0	4	4	Como empilhar e desempilhar elementos em uma pilha ?	1
desempilhar	VERB	1	4	4	Como empilhar e desempilhar elementos em uma pilha ?	1
elementos	NOUN	0	4	4	Como empilhar e desempilhar elementos em uma pilha ?	1
em	ADP	0	4	4	Como empilhar e desempilhar elementos em uma pilha ?	1
uma	DET	0	4	4	Como empilhar e desempilhar elementos em uma pilha ?	1
pilha	NOUN	0	4	4	Como empilhar e desempilhar elementos em uma pilha ?	1
?	PUNCT	0	4	4	Como empilhar e desempilhar elementos em uma pilha ?	1
Como	ADV	0	4_pert_0	4	Como separar e desempilhar elementos em uma pilha ?	0
separar	VERB	0	4_pert_0	4	Como separar e desempilhar elementos em uma pilha ?	0
e	CCONJ	0	4_pert_0	4	Como separar e desempilhar elementos em uma pilha ?	0
desempilhar	VERB	1	4_pert_0	4	Como separar e desempilhar elementos em uma pilha ?	0
elementos	NOUN	0	4_pert_0	4	Como separar e desempilhar elementos em uma pilha ?	0
em	ADP	0	4_pert_0	4	Como separar e desempilhar elementos em uma pilha ?	0
uma	DET	0	4_pert_0	4	Como separar e desempilhar elementos em uma pilha ?	0
pilha	NOUN	0	4_pert_0	4	Como separar e desempilhar elementos em uma pilha ?	0
?	PUNCT	0	4_pert_0	4	Como separar e desempilhar elementos em uma pilha ?	0
Como	SCONJ	0	5	5	Como empilhar elementos em uma estrutura de dados pilha ?	1
empilhar	VERB	1	5	5	Como empilhar elementos em uma estrutura de dados pilha ?	1
elementos	NOUN	0	5	5	Como empilhar elementos em uma estrutura de dados pilha ?	1
em	ADP	0	5	5	Como empilhar elementos em uma estrutura de dados pilha ?	1
uma	DET	0	5	5	Como empilhar elementos em uma estrutura de dados pilha ?	1
estrutura	NOUN	0	5	5	Como empilhar elementos em uma estrutura de dados pilha ?	1
de	ADP	0	5	5	Como empilhar elementos em uma estrutura de dados pilha ?	1
dados	NOUN	0	5	5	Como empilhar elementos em uma estrutura de dados pilha ?	1
pilha	NOUN	0	5	5	Como empilhar elementos em uma estrutura de dados pilha ?	1
?	PUNCT	0	5	5	Como empilhar elementos em uma estrutura de dados pilha ?	1
Como	SCONJ	0	5_pert_0	5	Como identificar elementos em uma estrutura de dados pilha ?	0
identificar	VERB	0	5_pert_0	5	Como identificar elementos em uma estrutura de dados pilha ?	0
elementos	NOUN	0	5_pert_0	5	Como identificar elementos em uma estrutura de dados pilha ?	0
em	ADP	0	5_pert_0	5	Como identificar elementos em uma estrutura de dados pilha ?	0
uma	DET	0	5_pert_0	5	Como identificar elementos em uma estrutura de dados pilha ?	0
estrutura	NOUN	0	5_pert_0	5	Como identificar elementos em uma estrutura de dados pilha ?	0
de	ADP	0	5_pert_0	5	Como identificar elementos em uma estrutura de dados pilha ?	0
dados	NOUN	0	5_pert_0	5	Como identificar elementos em uma estrutura de dados pilha ?	0
pilha	NOUN	0	5_pert_0	5	Como identificar elementos em uma estrutura de dados pilha ?	0
?	PUNCT	0	5_pert_0	5	Como identificar elementos em uma estrutura de dados pilha ?	0
Como	SCONJ	0	6	6	Como empilhar e desempilhar elementos em uma estrutura de dados pilha ?	1
empilhar	VERB	1	6	6	Como empilhar e desempilhar elementos em uma estrutura de dados pilha ?	1
e	CCONJ	0	6	6	Como empilhar e desempilhar elementos em uma estrutura de dados pilha ?	1
desempilhar	VERB	1	6	6	Como empilhar e desempilhar elementos em uma estrutura de dados pilha ?	1
elementos	NOUN	0	6	6	Como empilhar e desempilhar elementos em uma estrutura de dados pilha ?	1
em	ADP	0	6	6	Como empilhar e desempilhar elementos em uma estrutura de dados pilha ?	1
uma	DET	0	6	6	Como empilhar e desempilhar elementos em uma estrutura de dados pilha ?	1
estrutura	NOUN	0	6	6	Como empilhar e desempilhar elementos em uma estrutura de dados pilha ?	1
de	ADP	0	6	6	Como empilhar e desempilhar elementos em uma estrutura de dados pilha ?	1
dados	NOUN	0	6	6	Como empilhar e desempilhar elementos em uma estrutura de dados pilha ?	1
pilha	NOUN	0	6	6	Como empilhar e desempilhar elementos em uma estrutura de dados pilha ?	1
?	PUNCT	0	6	6	Como empilhar e desempilhar elementos em uma estrutura de dados pilha ?	1
Como	ADV	0	6_pert_0	6	Como introduzir e desempilhar elementos em uma estrutura de dados pilha ?	0
introduzir	VERB	0	6_pert_0	6	Como introduzir e desempilhar elementos em uma estrutura de dados pilha ?	0
e	CCONJ	0	6_pert_0	6	Como introduzir e desempilhar elementos em uma estrutura de dados pilha ?	0
desempilhar	NOUN	1	6_pert_0	6	Como introduzir e desempilhar elementos em uma estrutura de dados pilha ?	0
elementos	NOUN	0	6_pert_0	6	Como introduzir e desempilhar elementos em uma estrutura de dados pilha ?	0
em	ADP	0	6_pert_0	6	Como introduzir e desempilhar elementos em uma estrutura de dados pilha ?	0
uma	DET	0	6_pert_0	6	Como introduzir e desempilhar elementos em uma estrutura de dados pilha ?	0
estrutura	NOUN	0	6_pert_0	6	Como introduzir e desempilhar elementos em uma estrutura de dados pilha ?	0
de	ADP	0	6_pert_0	6	Como introduzir e desempilhar elementos em uma estrutura de dados pilha ?	0
dados	NOUN	0	6_pert_0	6	Como introduzir e desempilhar elementos em uma estrutura de dados pilha ?	0
pilha	NOUN	0	6_pert_0	6	Como introduzir e desempilhar elementos em uma estrutura de dados pilha ?	0
?	PUNCT	0	6_pert_0	6	Como introduzir e desempilhar elementos em uma estrutura de dados pilha ?	0
Como	ADP	0	7	7	Como desempilhar elementos em uma pilha ?	1
desempilhar	NOUN	1	7	7	Como desempilhar elementos em uma pilha ?	1
elementos	NOUN	0	7	7	Como desempilhar elementos em uma pilha ?	1
em	ADP	0	7	7	Como desempilhar elementos em uma pilha ?	1
uma	DET	0	7	7	Como desempilhar elementos em uma pilha ?	1
pilha	NOUN	0	7	7	Como desempilhar elementos em uma pilha ?	1
?	PUNCT	0	7	7	Como desempilhar elementos em uma pilha ?	1
Como	ADP	0	7_pert_0	7	Como desempilhar água em uma pilha ?	0
