Sentence	Origem	Classe
Como enfileirar elementos em uma fila ?	1	1
Como colocar elementos em uma fila ?	1	0
Como identificar elementos em uma fila ?	1	0
Como encontrar elementos em uma fila ?	1	0
Como adicionar elementos em uma fila ?	1	0
Como organizar elementos em uma fila ?	1	0
Como localizar elementos em uma fila ?	1	0
Como classificar elementos em uma fila ?	1	0
Como conseguir elementos em uma fila ?	1	0
Como achar elementos em uma fila ?	1	0
Como ver elementos em uma fila ?	1	0
Como juntar elementos em uma fila ?	1	0
Como separar elementos em uma fila ?	1	0
Como incluir elementos em uma fila ?	1	0
Como procurar elementos em uma fila ?	1	0
Como reconhecer elementos em uma fila ?	1	0
Como os elementos em uma fila ?	1	0
Como escolher elementos em uma fila ?	1	0
Como obter elementos em uma fila ?	1	0
Como reunir elementos em uma fila ?	1	0
Como entrar elementos em uma fila ?	1	0
Como desenfileirar elementos em uma fila ?	2	1
Como colocar elementos em uma fila ?	2	0
Como identificar elementos em uma fila ?	2	0
Como encontrar elementos em uma fila ?	2	0
Como adicionar elementos em uma fila ?	2	0
Como organizar elementos em uma fila ?	2	0
Como localizar elementos em uma fila ?	2	0
Como classificar elementos em uma fila ?	2	0
Como conseguir elementos em uma fila ?	2	0
Como achar elementos em uma fila ?	2	0
Como ver elementos em uma fila ?	2	0
Como juntar elementos em uma fila ?	2	0
Como separar elementos em uma fila ?	2	0
Como incluir elementos em uma fila ?	2	0
Como procurar elementos em uma fila ?	2	0
Como reconhecer elementos em uma fila ?	2	0
Como os elementos em uma fila ?	2	0
Como escolher elementos em uma fila ?	2	0
Como obter elementos em uma fila ?	2	0
Como reunir elementos em uma fila ?	2	0
Como entrar elementos em uma fila ?	2	0
Como empilhar elementos em uma pilha ?	3	1
Como colocar elementos em uma pilha ?	3	0
Como adicionar elementos em uma pilha ?	3	0
Como organizar elementos em uma pilha ?	3	0
Como identificar elementos em uma pilha ?	3	0
Como encontrar elementos em uma pilha ?	3	0
Como localizar elementos em uma pilha ?	3	0
Como ligar elementos em uma pilha ?	3	0
Como separar elementos em uma pilha ?	3	0
Como obter elementos em uma pilha ?	3	0
Como introduzir elementos em uma pilha ?	3	0
Como incluir elementos em uma pilha ?	3	0
Como juntar elementos em uma pilha ?	3	0
Como procurar elementos em uma pilha ?	3	0
Como reconhecer elementos em uma pilha ?	3	0
Como reunir elementos em uma pilha ?	3	0
Como achar elementos em uma pilha ?	3	0
Como descobrir elementos em uma pilha ?	3	0
Como transformar elementos em uma pilha ?	3	0
Como classificar elementos em uma pilha ?	3	0
Como escrever elementos em uma pilha ?	3	0
Como empilhar e desempilhar elementos em uma pilha ?	4	1
Como empilhar e organizar elementos em uma pilha ?	4	0
Como empilhar e colocar elementos em uma pilha ?	4	0
Como empilhar e distribuir elementos em uma pilha ?	4	0
Como empilhar e juntar elementos em uma pilha ?	4	0
Como empilhar e separar elementos em uma pilha ?	4	0
Como empilhar e reunir elementos em uma pilha ?	4	0
Como empilhar e dividir elementos em uma pilha ?	4	0
Como empilhar e transformar elementos em uma pilha ?	4	0
Como empilhar e carregar elementos em uma pilha ?	4	0
Como empilhar e transportar elementos em uma pilha ?	4	0
Como empilhar e concentrar elementos em uma pilha ?	4	0
Como empilhar e unir elementos em uma pilha ?	4	0
Como empilhar e colar elementos em uma pilha ?	4	0
Como empilhar e manter elementos em uma pilha ?	4	0
Como empilhar e adicionar elementos em uma pilha ?	4	0
Como empilhar e classificar elementos em uma pilha ?	4	0
Como empilhar e jogar elementos em uma pilha ?	4	0
Como empilhar e mover elementos em uma pilha ?	4	0
Como empilhar e ligar elementos em uma pilha ?	4	0
Como empilhar e acomodar elementos em uma pilha ?	4	0
Como empilhar elementos em uma estrutura de dados pilha ?	5	1
Como identificar elementos em uma estrutura de dados pilha ?	5	0
Como adicionar elementos em uma estrutura de dados pilha ?	5	0
Como obter elementos em uma estrutura de dados pilha ?	5	0
Como encontrar elementos em uma estrutura de dados pilha ?	5	0
Como definir elementos em uma estrutura de dados pilha ?	5	0
Como introduzir elementos em uma estrutura de dados pilha ?	5	0
Como localizar elementos em uma estrutura de dados pilha ?	5	0
Como reconhecer elementos em uma estrutura de dados pilha ?	5	0
Como incluir elementos em uma estrutura de dados pilha ?	5	0
Como organizar elementos em uma estrutura de dados pilha ?	5	0
Como criar elementos em uma estrutura de dados pilha ?	5	0
