Token	POS-Tag	OOV	Sentence
Como	ADV	0	Como pode ser definido um sistema de informação?
pode	VERB	0	Como pode ser definido um sistema de informação?
ser	AUX	0	Como pode ser definido um sistema de informação?
definido	VERB	0	Como pode ser definido um sistema de informação?
um	DET	0	Como pode ser definido um sistema de informação?
sistema	NOUN	0	Como pode ser definido um sistema de informação?
de	ADP	0	Como pode ser definido um sistema de informação?
informação	NOUN	0	Como pode ser definido um sistema de informação?
?	PUNCT	0	Como pode ser definido um sistema de informação?
O	PRON	0	O que as soluções tecnológicas automatizam?
que	PRON	0	O que as soluções tecnológicas automatizam?
as	DET	0	O que as soluções tecnológicas automatizam?
soluções	NOUN	0	O que as soluções tecnológicas automatizam?
tecnológicas	ADJ	1	O que as soluções tecnológicas automatizam?
automatizam	VERB	1	O que as soluções tecnológicas automatizam?
?	PUNCT	0	O que as soluções tecnológicas automatizam?
Por	ADP	0	Por que a preocupação com a coleta, armazenamento, processamento e transmissão da informação cresce?
que	SCONJ	0	Por que a preocupação com a coleta, armazenamento, processamento e transmissão da informação cresce?
a	DET	0	Por que a preocupação com a coleta, armazenamento, processamento e transmissão da informação cresce?
preocupação	NOUN	0	Por que a preocupação com a coleta, armazenamento, processamento e transmissão da informação cresce?
com	ADP	0	Por que a preocupação com a coleta, armazenamento, processamento e transmissão da informação cresce?
a	DET	0	Por que a preocupação com a coleta, armazenamento, processamento e transmissão da informação cresce?
coleta	NOUN	0	Por que a preocupação com a coleta, armazenamento, processamento e transmissão da informação cresce?
,	PUNCT	0	Por que a preocupação com a coleta, armazenamento, processamento e transmissão da informação cresce?
armazenamento	NOUN	0	Por que a preocupação com a coleta, armazenamento, processamento e transmissão da informação cresce?
,	PUNCT	0	Por que a preocupação com a coleta, armazenamento, processamento e transmissão da informação cresce?
processamento	NOUN	0	Por que a preocupação com a coleta, armazenamento, processamento e transmissão da informação cresce?
e	CCONJ	0	Por que a preocupação com a coleta, armazenamento, processamento e transmissão da informação cresce?
transmissão	NOUN	0	Por que a preocupação com a coleta, armazenamento, processamento e transmissão da informação cresce?
da	ADP	0	Por que a preocupação com a coleta, armazenamento, processamento e transmissão da informação cresce?
informação	NOUN	0	Por que a preocupação com a coleta, armazenamento, processamento e transmissão da informação cresce?
cresce	VERB	0	Por que a preocupação com a coleta, armazenamento, processamento e transmissão da informação cresce?
?	PUNCT	0	Por que a preocupação com a coleta, armazenamento, processamento e transmissão da informação cresce?
Qual	DET	0	Qual um componente indispensável nas organizações?
um	DET	0	Qual um componente indispensável nas organizações?
componente	NOUN	0	Qual um componente indispensável nas organizações?
indispensável	ADJ	1	Qual um componente indispensável nas organizações?
nas	ADP	0	Qual um componente indispensável nas organizações?
organizações	NOUN	0	Qual um componente indispensável nas organizações?
?	PUNCT	0	Qual um componente indispensável nas organizações?
Em	ADP	0	Em que se concentram as responsabilidades do analista de sistemas?
que	PRON	0	Em que se concentram as responsabilidades do analista de sistemas?
se	PRON	0	Em que se concentram as responsabilidades do analista de sistemas?
concentram	VERB	1	Em que se concentram as responsabilidades do analista de sistemas?
as	DET	0	Em que se concentram as responsabilidades do analista de sistemas?
responsabilidades	NOUN	1	Em que se concentram as responsabilidades do analista de sistemas?
do	ADP	0	Em que se concentram as responsabilidades do analista de sistemas?
analista	NOUN	1	Em que se concentram as responsabilidades do analista de sistemas?
de	ADP	0	Em que se concentram as responsabilidades do analista de sistemas?
sistemas	NOUN	0	Em que se concentram as responsabilidades do analista de sistemas?
?	PUNCT	0	Em que se concentram as responsabilidades do analista de sistemas?
O	PRON	0	O que os profissionais da área geram?
que	PRON	0	O que os profissionais da área geram?
os	DET	0	O que os profissionais da área geram?
profissionais	NOUN	0	O que os profissionais da área geram?
da	ADP	0	O que os profissionais da área geram?
área	NOUN	0	O que os profissionais da área geram?
geram	VERB	1	O que os profissionais da área geram?
?	PUNCT	0	O que os profissionais da área geram?
O	PRON	0	O que é análise de sistemas?
que	PRON	0	O que é análise de sistemas?
é	AUX	0	O que é análise de sistemas?
análise	NOUN	0	O que é análise de sistemas?
de	ADP	0	O que é análise de sistemas?
sistemas	NOUN	0	O que é análise de sistemas?
?	PUNCT	0	O que é análise de sistemas?
Onde	PRON	0	Onde são executados os softwares gerados pelos profissionais da área?
são	AUX	0	Onde são executados os softwares gerados pelos profissionais da área?
executados	VERB	0	Onde são executados os softwares gerados pelos profissionais da área?
os	DET	0	Onde são executados os softwares gerados pelos profissionais da área?
softwares	NOUN	0	Onde são executados os softwares gerados pelos profissionais da área?
gerados	VERB	0	Onde são executados os softwares gerados pelos profissionais da área?
pelos	ADP	0	Onde são executados os softwares gerados pelos profissionais da área?
profissionais	NOUN	0	Onde são executados os softwares gerados pelos profissionais da área?
da	ADP	0	Onde são executados os softwares gerados pelos profissionais da área?
área	NOUN	0	Onde são executados os softwares gerados pelos profissionais da área?
?	PUNCT	0	Onde são executados os softwares gerados pelos profissionais da área?
Onde	PRON	0	Onde são utilizadas as informações levantadas sobre uma empresa?
são	AUX	0	Onde são utilizadas as informações levantadas sobre uma empresa?
