Token	POS-Tag	Sentence	Classe
Como	SCONJ	Como enfileirar elementos em uma fila?	1
enfileirar	VERB	Como enfileirar elementos em uma fila?	1
elementos	NOUN	Como enfileirar elementos em uma fila?	1
em	ADP	Como enfileirar elementos em uma fila?	1
uma	DET	Como enfileirar elementos em uma fila?	1
fila	NOUN	Como enfileirar elementos em uma fila?	1
?	PUNCT	Como enfileirar elementos em uma fila?	1
Como	SCONJ	Como enfileirar elementos em uma pilha?	0
enfileirar	VERB	Como enfileirar elementos em uma pilha?	0
elementos	NOUN	Como enfileirar elementos em uma pilha?	0
em	ADP	Como enfileirar elementos em uma pilha?	0
uma	DET	Como enfileirar elementos em uma pilha?	0
pilha	NOUN	Como enfileirar elementos em uma pilha?	0
?	PUNCT	Como enfileirar elementos em uma pilha?	0
Como	SCONJ	Como desenfileirar elementos em uma fila?	1
desenfileirar	VERB	Como desenfileirar elementos em uma fila?	1
elementos	NOUN	Como desenfileirar elementos em uma fila?	1
em	ADP	Como desenfileirar elementos em uma fila?	1
uma	DET	Como desenfileirar elementos em uma fila?	1
fila	NOUN	Como desenfileirar elementos em uma fila?	1
?	PUNCT	Como desenfileirar elementos em uma fila?	1
Como	SCONJ	Como desenfileirar elementos em uma pilha?	0
desenfileirar	VERB	Como desenfileirar elementos em uma pilha?	0
elementos	NOUN	Como desenfileirar elementos em uma pilha?	0
em	ADP	Como desenfileirar elementos em uma pilha?	0
uma	DET	Como desenfileirar elementos em uma pilha?	0
pilha	NOUN	Como desenfileirar elementos em uma pilha?	0
?	PUNCT	Como desenfileirar elementos em uma pilha?	0
Como	SCONJ	Como empilhar elementos em uma pilha?	1
empilhar	VERB	Como empilhar elementos em uma pilha?	1
elementos	NOUN	Como empilhar elementos em uma pilha?	1
em	ADP	Como empilhar elementos em uma pilha?	1
uma	DET	Como empilhar elementos em uma pilha?	1
pilha	NOUN	Como empilhar elementos em uma pilha?	1
?	PUNCT	Como empilhar elementos em uma pilha?	1
Como	SCONJ	Como empilhar elementos em uma fila?	0
empilhar	VERB	Como empilhar elementos em uma fila?	0
elementos	NOUN	Como empilhar elementos em uma fila?	0
em	ADP	Como empilhar elementos em uma fila?	0
uma	DET	Como empilhar elementos em uma fila?	0
fila	NOUN	Como empilhar elementos em uma fila?	0
?	PUNCT	Como empilhar elementos em uma fila?	0
Como	SCONJ	Como empilhar e desempilhar elementos em uma pilha?	1
empilhar	VERB	Como empilhar e desempilhar elementos em uma pilha?	1
e	CCONJ	Como empilhar e desempilhar elementos em uma pilha?	1
desempilhar	VERB	Como empilhar e desempilhar elementos em uma pilha?	1
elementos	NOUN	Como empilhar e desempilhar elementos em uma pilha?	1
em	ADP	Como empilhar e desempilhar elementos em uma pilha?	1
uma	DET	Como empilhar e desempilhar elementos em uma pilha?	1
pilha	NOUN	Como empilhar e desempilhar elementos em uma pilha?	1
?	PUNCT	Como empilhar e desempilhar elementos em uma pilha?	1
Como	SCONJ	Como empilhar e desempilhar elementos em uma fila?	0
empilhar	VERB	Como empilhar e desempilhar elementos em uma fila?	0
e	CCONJ	Como empilhar e desempilhar elementos em uma fila?	0
desempilhar	VERB	Como empilhar e desempilhar elementos em uma fila?	0
elementos	NOUN	Como empilhar e desempilhar elementos em uma fila?	0
em	ADP	Como empilhar e desempilhar elementos em uma fila?	0
uma	DET	Como empilhar e desempilhar elementos em uma fila?	0
fila	NOUN	Como empilhar e desempilhar elementos em uma fila?	0
?	PUNCT	Como empilhar e desempilhar elementos em uma fila?	0
Como	SCONJ	Como empilhar elementos em uma estrutura de dados pilha?	1
empilhar	VERB	Como empilhar elementos em uma estrutura de dados pilha?	1
elementos	NOUN	Como empilhar elementos em uma estrutura de dados pilha?	1
em	ADP	Como empilhar elementos em uma estrutura de dados pilha?	1
