Token	POS-Tag	OOV	Sentence
Como	SCONJ	0	Como enfileirar elementos em uma fila?
enfileirar	VERB	1	Como enfileirar elementos em uma fila?
elementos	NOUN	0	Como enfileirar elementos em uma fila?
em	ADP	0	Como enfileirar elementos em uma fila?
uma	DET	0	Como enfileirar elementos em uma fila?
fila	NOUN	1	Como enfileirar elementos em uma fila?
?	PUNCT	0	Como enfileirar elementos em uma fila?
Como	SCONJ	0	Como desenfileirar elementos em uma fila?
desenfileirar	VERB	1	Como desenfileirar elementos em uma fila?
elementos	NOUN	0	Como desenfileirar elementos em uma fila?
em	ADP	0	Como desenfileirar elementos em uma fila?
uma	DET	0	Como desenfileirar elementos em uma fila?
fila	NOUN	1	Como desenfileirar elementos em uma fila?
?	PUNCT	0	Como desenfileirar elementos em uma fila?
Como	SCONJ	0	Como empilhar elementos em uma pilha?
empilhar	VERB	1	Como empilhar elementos em uma pilha?
elementos	NOUN	0	Como empilhar elementos em uma pilha?
em	ADP	0	Como empilhar elementos em uma pilha?
uma	DET	0	Como empilhar elementos em uma pilha?
pilha	NOUN	0	Como empilhar elementos em uma pilha?
?	PUNCT	0	Como empilhar elementos em uma pilha?
Como	SCONJ	0	Como empilhar e desempilhar elementos em uma pilha?
empilhar	VERB	1	Como empilhar e desempilhar elementos em uma pilha?
e	CCONJ	0	Como empilhar e desempilhar elementos em uma pilha?
desempilhar	VERB	1	Como empilhar e desempilhar elementos em uma pilha?
elementos	NOUN	0	Como empilhar e desempilhar elementos em uma pilha?
em	ADP	0	Como empilhar e desempilhar elementos em uma pilha?
uma	DET	0	Como empilhar e desempilhar elementos em uma pilha?
pilha	NOUN	0	Como empilhar e desempilhar elementos em uma pilha?
?	PUNCT	0	Como empilhar e desempilhar elementos em uma pilha?
Como	SCONJ	0	Como empilhar elementos em uma estrutura de dados pilha?
empilhar	VERB	1	Como empilhar elementos em uma estrutura de dados pilha?
elementos	NOUN	0	Como empilhar elementos em uma estrutura de dados pilha?
em	ADP	0	Como empilhar elementos em uma estrutura de dados pilha?
uma	DET	0	Como empilhar elementos em uma estrutura de dados pilha?
estrutura	NOUN	0	Como empilhar elementos em uma estrutura de dados pilha?
de	ADP	0	Como empilhar elementos em uma estrutura de dados pilha?
dados	NOUN	0	Como empilhar elementos em uma estrutura de dados pilha?
pilha	NOUN	0	Como empilhar elementos em uma estrutura de dados pilha?
?	PUNCT	0	Como empilhar elementos em uma estrutura de dados pilha?
Como	SCONJ	0	Como empilhar e desempilhar elementos em uma estrutura de dados pilha?
empilhar	VERB	1	Como empilhar e desempilhar elementos em uma estrutura de dados pilha?
e	CCONJ	0	Como empilhar e desempilhar elementos em uma estrutura de dados pilha?
desempilhar	VERB	1	Como empilhar e desempilhar elementos em uma estrutura de dados pilha?
elementos	NOUN	0	Como empilhar e desempilhar elementos em uma estrutura de dados pilha?
em	ADP	0	Como empilhar e desempilhar elementos em uma estrutura de dados pilha?
uma	DET	0	Como empilhar e desempilhar elementos em uma estrutura de dados pilha?
estrutura	NOUN	0	Como empilhar e desempilhar elementos em uma estrutura de dados pilha?
de	ADP	0	Como empilhar e desempilhar elementos em uma estrutura de dados pilha?
dados	NOUN	0	Como empilhar e desempilhar elementos em uma estrutura de dados pilha?
pilha	NOUN	0	Como empilhar e desempilhar elementos em uma estrutura de dados pilha?
