Token	__next__	Sentença
[CLS]	1	Como enfileirar elementos em uma fila?
Como	2	Como enfileirar elementos em uma fila?
enf	3	Como enfileirar elementos em uma fila?
##ile	4	Como enfileirar elementos em uma fila?
##ira	5	Como enfileirar elementos em uma fila?
##r	6	Como enfileirar elementos em uma fila?
elementos	7	Como enfileirar elementos em uma fila?
em	8	Como enfileirar elementos em uma fila?
uma	9	Como enfileirar elementos em uma fila?
fil	10	Como enfileirar elementos em uma fila?
##a	11	Como enfileirar elementos em uma fila?
?	12	Como enfileirar elementos em uma fila?
[SEP]		Como enfileirar elementos em uma fila?
[CLS]	14	Como desenfileirar elementos em uma fila?
Como	15	Como desenfileirar elementos em uma fila?
desen	16	Como desenfileirar elementos em uma fila?
##fil	17	Como desenfileirar elementos em uma fila?
##eira	18	Como desenfileirar elementos em uma fila?
##r	19	Como desenfileirar elementos em uma fila?
elementos	20	Como desenfileirar elementos em uma fila?
em	21	Como desenfileirar elementos em uma fila?
uma	22	Como desenfileirar elementos em uma fila?
fil	23	Como desenfileirar elementos em uma fila?
##a	24	Como desenfileirar elementos em uma fila?
?	25	Como desenfileirar elementos em uma fila?
[SEP]		Como desenfileirar elementos em uma fila?
[CLS]	27	Como empilhar elementos em uma pilha?
Como	28	Como empilhar elementos em uma pilha?
emp	29	Como empilhar elementos em uma pilha?
##ilha	30	Como empilhar elementos em uma pilha?
##r	31	Como empilhar elementos em uma pilha?
elementos	32	Como empilhar elementos em uma pilha?
em	33	Como empilhar elementos em uma pilha?
uma	34	Como empilhar elementos em uma pilha?
pilha	35	Como empilhar elementos em uma pilha?
?	36	Como empilhar elementos em uma pilha?
[SEP]		Como empilhar elementos em uma pilha?
[CLS]	38	Como empilhar e desempilhar elementos em uma pilha?
Como	39	Como empilhar e desempilhar elementos em uma pilha?
emp	40	Como empilhar e desempilhar elementos em uma pilha?
##ilha	41	Como empilhar e desempilhar elementos em uma pilha?
##r	42	Como empilhar e desempilhar elementos em uma pilha?
e	43	Como empilhar e desempilhar elementos em uma pilha?
desem	44	Como empilhar e desempilhar elementos em uma pilha?
##pi	45	Como empilhar e desempilhar elementos em uma pilha?
##l	46	Como empilhar e desempilhar elementos em uma pilha?
##har	47	Como empilhar e desempilhar elementos em uma pilha?
elementos	48	Como empilhar e desempilhar elementos em uma pilha?
em	49	Como empilhar e desempilhar elementos em uma pilha?
